anio;item;categoria;seccion;combustible;tcal
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Energéticos Primarios;Energía Hídrica;-20503,25048
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Energéticos Primarios;Energía Eólica;-32,77899116
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Petróleo Diesel;-25827,62038
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Petróleo Combustible;-1910,461739
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Gasolina de motor;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Kerosene;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Gas Licuado;-28,36253189
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Gasolina de Aviación;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Kerosene de Aviación;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Nafta;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Gas de Refinería;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;Coque de Petróleo;-4823,423783
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Petróleo;D.I. de Petróleo;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Electricidad;Electricidad;47896,53954
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Carbón;Coque Mineral;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Carbón;Gas Coque;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Carbón;Alquitrán;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Derivados De Carbón;Gas de Altos Hornos;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Gas Corriente;Gas Corriente;0
2008;C.TRANSFO.;Centrales Eléctricas: Servicio Publico;Metanol;Metanol;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Energéticos Primarios;Petróleo Crudo;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Energéticos Primarios;Gas Natural;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Energéticos Primarios;Carbón;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Energéticos Primarios;Biomasa;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Energéticos Primarios;Energía Hídrica;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Energéticos Primarios;Energía Eólica;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Petróleo Diesel;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Petróleo Combustible;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Gasolina de motor;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Kerosene;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Gas Licuado;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Gasolina de Aviación;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Kerosene de Aviación;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Nafta;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Gas de Refinería;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;Coque de Petróleo;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Petróleo;D.I. de Petróleo;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Electricidad;Electricidad;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Carbón;Coque Mineral;-1249,987867
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Carbón;Gas Coque;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Carbón;Alquitrán;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Derivados De Carbón;Gas de Altos Hornos;1249,987867
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Gas Corriente;Gas Corriente;0
2008;C.TRANSFO.;Siderurgia: Altos Hornos;Metanol;Metanol;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Energéticos Primarios;Petróleo Crudo;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Energéticos Primarios;Gas Natural;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Energéticos Primarios;Carbón;-4860,0072
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Energéticos Primarios;Biomasa;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Energéticos Primarios;Energía Hídrica;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Energéticos Primarios;Energía Eólica;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Petróleo Diesel;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Petróleo Combustible;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Gasolina de motor;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Kerosene;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Gas Licuado;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Gasolina de Aviación;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Kerosene de Aviación;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Nafta;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Gas de Refinería;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;Coque de Petróleo;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Petróleo;D.I. de Petróleo;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Electricidad;Electricidad;0
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Carbón;Coque Mineral;3422,948579
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Carbón;Gas Coque;1091,869
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Carbón;Alquitrán;189,895
2008;C.TRANSFO.;Siderurgia: Hornos de Coque;Derivados De Carbón;Gas de Altos Hornos;0
